Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1,Wii Sports,Wii,2006.0,Sports,Nintendo,50.30461960208688,56.94142760854151,11.90317801215779,44.44856382352124,52.681050298587785
2,Super Mario Bros.,NES,1985.0,Platform,Nintendo,35.161106285919935,6.769749377057233,21.704329563712598,3.813655259269235,25.443398844600573
3,Mario Kart Wii,Wii,2008.0,Racing,Nintendo,19.016974039917624,25.11081099469889,11.967659272365388,17.235328569178215,22.6106830933859
4,Wii Sports Resort,Wii,2009.0,Sports,Nintendo,18.894947341157213,21.422877099538685,10.323387137071654,15.385885396552963,20.803384808674277
5,Pokemon Red/Pokemon Blue,GB,1996.0,Role-Playing,Nintendo,13.428151236690823,17.241903913581663,32.69838442910796,5.029003629851545,19.7587407646743
6,Tetris,GB,1989.0,Puzzle,Nintendo,27.985936398807794,4.166501921650029,13.354006366828731,2.8096718227012403,19.047357397287808
7,New Super Mario Bros.,DS,2006.0,Platform,Nintendo,13.562380605327276,17.912437349065335,20.70487003049484,15.06883799553149,18.887135918146708
8,Wii Play,Wii,2006.0,Misc,Nintendo,16.796088122478153,17.853272634169716,9.1949650834387,14.804631828013598,18.252658860747946
9,New Super Mario Bros. Wii,Wii,2009.0,Platform,Nintendo,17.479437635536453,13.632856304948948,14.90155661181107,11.686999051302456,17.996304494122185
10,Duck Hunt,NES,1984.0,Shooter,Nintendo,32.537532262571105,0.9518857456547718,0.6511981059320407,2.228418254161875,17.797629859987218
11,Nintendogs,DS,2005.0,Simulation,Nintendo,10.743563863961791,21.40315552790681,5.970902073058827,14.27621949297781,15.522484856183581
12,Mario Kart DS,DS,2005.0,Racing,Nintendo,11.646561434788829,14.63865645817446,13.063840695894545,9.89039711218078,14.663697727987278
13,Pokemon Gold/Pokemon Silver,GB,1999.0,Role-Playing,Nintendo,10.658145174829505,11.897358001344147,22.961714137760747,3.496607858247763,14.458614234686669
14,Wii Fit,Wii,2007.0,Sports,Nintendo,10.584929155573258,15.545848753240605,11.355087300393214,11.10574548276309,14.215077586392194
15,Wii Fit Plus,Wii,2009.0,Sports,Nintendo,10.767969203713873,16.650256764625478,7.90533987928675,9.203461076634259,13.753639726465822
16,Kinect Adventures!,X360,2010.0,Misc,Microsoft Game Studios,17.943139090826012,9.451883118991928,0.5222355855168458,8.569366274591314,13.63828026148423
17,Grand Theft Auto V,PS3,2013.0,Action,Take-Two Interactive,8.229813869497333,17.991323635592828,2.8758015830941512,21.62115094997524,13.36910817652718
18,Grand Theft Auto: San Andreas,PS2,2004.0,Action,Take-Two Interactive,11.18285997949927,0.49828959812169854,1.0703262972814238,55.59806409277633,12.99098548575418
19,Super Mario World,SNES,1990.0,Platform,Nintendo,15.270754387973021,7.105016094799069,11.16164351977042,2.651148122190505,12.8628083024413
20,Brain Age: Train Your Brain in Minutes a Day,DS,2005.0,Misc,Nintendo,5.472010477512056,17.971602063960955,13.160562586205941,10.577333147727304,12.612862794981181
21,Pokemon Diamond/Pokemon Pearl,DS,2006.0,Role-Playing,Nintendo,7.509856346810912,8.62357711045327,19.2218010457201,6.984129269483955,11.420814990171388
22,Super Mario Land,GB,1989.0,Platform,Nintendo,12.891233762145017,5.053972645084303,13.225043846413536,1.9642120866439818,11.27982008852722
23,Super Mario Bros. 3,NES,1988.0,Platform,Nintendo,11.31708934813572,6.493647374211014,12.128862422884382,2.1755770206582965,10.728658200281831
24,Grand Theft Auto V,X360,2013.0,Action,Take-Two Interactive,11.42691337702009,10.181581269371218,-0.05809575635153099,7.036970502987533,10.151860875373867
25,Grand Theft Auto: Vice City,PS2,2002.0,Action,Take-Two Interactive,9.938187652143082,10.536569558744928,1.263770077904216,9.15061984313068,10.004457114564053
26,Pokemon Ruby/Pokemon Sapphire,GBA,2002.0,Role-Playing,Nintendo,7.070560231273434,7.40083966927716,17.093919458869383,2.386941954672611,9.812191339594731
27,Pokemon Black/Pokemon White,DS,2010.0,Role-Playing,Nintendo,6.472629407347423,6.17810222810105,17.96441647167195,4.077861426787128,9.472521803815598
28,Brain Age 2: More Training in Minutes a Day,DS,2005.0,Puzzle,Nintendo,3.873460723750678,10.280189127530582,16.900475678246593,5.98014583291596,9.45970408548431
29,Gran Turismo 3: A-Spec,PS2,2001.0,Racing,Sony Computer Entertainment,8.034571151480677,9.747706693470017,5.777458292436036,5.874463365908802,9.2546205921837
30,Call of Duty: Modern Warfare 3,X360,2011.0,Shooter,Activision,10.694753184457626,8.150259391288326,0.16758865437506,6.719923101966062,9.11362569053953
31,Pokémon Yellow: Special Pikachu Edition,GB,1998.0,Role-Playing,Nintendo,6.863114843380735,9.649098835310655,9.807537055410876,2.862513056204819,9.036719380551803
32,Call of Duty: Black Ops,X360,2010.0,Shooter,Activision,11.475724056524255,7.065572951535324,0.10310739416746256,5.715939665398066,9.036719380551803
33,Pokemon X/Pokemon Y,3DS,2013.0,Role-Playing,Nintendo,5.98452261230578,7.696663243755252,13.740893928074316,3.9193377262763924,8.850862464748124
34,Call of Duty: Black Ops 3,PS4,2015.0,Shooter,Activision,6.716682804868243,11.167659850964855,0.8768825166586316,11.95120521882035,8.78036501392604
35,Call of Duty: Black Ops II,PS3,2012.0,Shooter,Activision,5.764874554537042,11.305710852387964,1.844101419772593,13.060871122395502,8.645778971447514
